Parameter,Target (Golden),Random Start (ACO-R),Optimized (ACO-R),ACO-R + LS,Random Start (GA),Optimized (GA)
radius,0.065,0.06339350856340767,0.06009667164659876,0.060082692912191094,0.07249958037689784,0.07026504921034561
body_length,2.1,2.3839674942014106,2.1250481433748662,2.125742764641019,1.5357106889448386,1.9494987411306934
nose_length,0.65,0.5497083183024482,0.6371138212254788,0.6440780697102244,0.6986984054322118,0.4515571831845579
fin_span,0.18,0.15559632206003365,0.2490777023931718,0.24902707959875517,0.19339208056763563,0.2422064545662623
fin_root_chord,0.35,0.4438398701772508,0.45021575681754356,0.45030292967304175,0.2482993820096132,0.2943282215609979
fin_tip_chord,0.12,0.23944971547677174,0.1637511877280344,0.16428857147323145,0.05122377355611506,0.15050202182040132
fin_sweep_angle,30.0,44.51003723380048,37.59862494908587,37.799370476162764,39.58297093156329,14.065842679484245
fin_distance_from_base,0.0,0.03766890926294708,0.04636694578373546,0.046819823615934036,0.03320210574502174,0.03364080262455177
total_impulse,3200.0,3128.7787565927474,3141.198519379756,3142.6856613124264,2631.4488441290914,3324.605172808423
burn_time,4.5,2.334002866794675,4.366451651934522,4.392013168942352,2.118226901655604,3.9530937666895554
launch_angle,85.0,85.10290990705668,84.9825193209113,85.01114659513726,80.6683451590753,84.67953002212559
