Algorithm,Exec Time (s),Best Fitness,Range Err (m),Apogee Err (m),TOF Err (s),TBO Err (s)
ACO-R (Base),449.6031005382538,0.4651143355158348,0.801772358153471,1.7305268103946219,0.12837876087454703,0.133548348065478
ACO-R + LS (Hybrid),573.902125120163,0.19241218757003456,0.0002414655608617977,0.00027232903812546283,0.13441851624835977,0.10798683105764795
Binary GA,1070.8993084430695,0.8490712359291793,0.07650440923396218,0.13914752810524078,0.3306465773429679,0.5469062333104446
