Algorithm,Total Fitness,Exec Time (s),Avg Range Err (m),Avg Apogee Err (m),Avg TOF Err (s),Avg TBO Err (s)
ACO-R (Base),0.6948414355449155,1594.563571691513,1.3211109789381605,0.28718656163315853,0.05181647109881027,0.05096532273884513
ACO-R + LS (Hybrid),0.6479974401935903,1864.9234845638275,1.217992065722721,0.20859384914638213,0.05266715278103362,0.04941557127435381
Binary GA,1.2148988386486272,58109.99438738823,1.163534666972699,0.4849233458082078,0.08015511137390992,0.1254062714579991
