Metric,Target (85°),ACO-R (85°),Diff (85°),Target (80°),ACO-R (80°),Diff (80°),Target (75°),ACO-R (75°),Diff (75°)
Apogee (m),1322.3,1322.9999654699795,0.6999654699795883,1257.5,1257.6200916143266,0.1200916143266113,1156.0,1156.0169303196208,0.016930319620769296
Range (m),615.6,616.0803062622169,0.48030626221691364,1189.9,1189.7081733000523,-0.19182669994779644,1666.5,1663.2035721641614,-3.2964278358385855
TOF (s),35.6,35.559359804965766,-0.04064019503423566,34.8,34.736947636508944,-0.06305236349105314,33.5,33.392301911389936,-0.10769808861006425
TBO (s),4.5,4.449034677261155,-0.05096532273884513,4.5,4.449034677261155,-0.05096532273884513,4.5,4.449034677261155,-0.05096532273884513
