Metric,Target (85°),ACO-R (85°),Diff (85°),Target (80°),ACO-R (80°),Diff (80°),Target (75°),ACO-R (75°),Diff (75°)
Apogee (m),1322.3,1322.8408796977178,0.5408796977178554,1257.5,1257.4975443430603,-0.002455656939673645,1156.0,1155.8795247946682,-0.12047520533178613
Range (m),615.6,616.153165895051,0.5531658950509382,1189.9,1189.8800576513077,-0.019942348692438827,1666.5,1663.4139041853864,-3.0860958146136
TOF (s),35.6,35.55830649110358,-0.041693508896422316,34.8,34.73626157604614,-0.06373842395385765,33.5,33.39148924066826,-0.10851075933174315
TBO (s),4.5,4.450584428725646,-0.04941557127435381,4.5,4.450584428725646,-0.04941557127435381,4.5,4.450584428725646,-0.04941557127435381
