Metric,Target (85°),Binary GA (85°),Diff (85°),Target (80°),Binary GA (80°),Diff (80°),Target (75°),Binary GA (75°),Diff (75°)
Apogee (m),1322.3,1322.725991774601,0.425991774601016,1257.5,1257.2047509791855,-0.2952490208144809,1156.0,1155.1650576952266,-0.834942304773449
Range (m),615.6,615.0651002156619,-0.5348997843381085,1189.9,1192.2635509664644,2.363550966464345,1666.5,1667.0869253889268,0.5869253889268293
TOF (s),35.6,35.69273808588744,0.09273808588744004,34.8,34.869742759893,0.06974275989300338,33.5,33.522043254502364,0.022043254502364107
TBO (s),4.5,4.625406271457999,0.1254062714579991,4.5,4.625406271457999,0.1254062714579991,4.5,4.625406271457999,0.1254062714579991
