Algorithm,Single Trajectory,Triple Trajectory
ACO-R (Base),0.4651143355158348,0.6948414355449155
ACO-R + LS (Hybrid),0.1924121875700345,0.6479974401935903
Binary GA,0.8490712359291793,1.2148988386486272
